case,gt_presence,pred_presence,pred_components,gt_components,pred_overlap_components,pred_fp_components,gt_detected_components,pred_exact_components,pred_territory_components,pred_side_denominator,pred_side_correct,gt_exact_detected,gt_territory_detected,gt_side_denominator,gt_side_correct,pred_voxels,gt_voxels,tp_binary_voxels,tp_location_voxels,tp_oracle_location_voxels,binary_dice
topaneu_center1_mr_016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0.0
topaneu_center1_mr_121,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.0
topaneu_center1_mr_136,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,6843,0,0,0,0,0.0
topaneu_center1_mr_173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_184,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0.0
topaneu_center1_mr_213,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0
topaneu_center1_mr_247,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0.0
topaneu_center1_mr_251,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,30,33,21,0,21,0.6666666666666666
topaneu_center1_mr_308,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,86,353,29,29,29,0.13211845102505695
topaneu_center1_mr_311,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0.0
topaneu_center1_mr_316,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
topaneu_center1_mr_359,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,20,145,17,0,17,0.20606060606060606
topaneu_center1_mr_365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_439,1,1,2,1,1,1,1,0,1,1,0,0,1,1,0,11,1389,4,0,4,0.005714285714285714
topaneu_center1_mr_443,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,81,342,81,0,81,0.3829787234042553
topaneu_center1_mr_483,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0.0
topaneu_center1_mr_489,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,40,41,10,0,10,0.24691358024691357
topaneu_center1_mr_516,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2,126,346,119,119,119,0.5042372881355932
topaneu_center1_mr_525,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2,164,136,113,113,113,0.7533333333333333
topaneu_center1_mr_585,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,102,243,102,0,102,0.591304347826087
topaneu_center1_mr_630,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0.0
topaneu_center1_mr_631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_647,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,43,65,38,0,38,0.7037037037037037
topaneu_center1_mr_653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_664,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,52,116,52,0,52,0.6190476190476191
topaneu_center1_mr_693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_694,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,40,75,40,40,40,0.6956521739130435
topaneu_center1_mr_697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_702,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0.0
topaneu_center1_mr_729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_744,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0.0
topaneu_center1_mr_763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_772,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,320,606,302,302,302,0.652267818574514
topaneu_center1_mr_775,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
topaneu_center1_mr_807,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,28,110,28,0,28,0.4057971014492754
topaneu_center1_mr_848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_909,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,32,46,29,0,29,0.7435897435897436
topaneu_center1_mr_910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_926,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,75,53,43,43,43,0.671875
topaneu_center1_mr_961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
topaneu_center1_mr_991,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0
topaneu_center2_ct_118,1,1,2,2,2,0,2,0,1,1,1,0,1,1,1,316,309,211,0,211,0.6752
topaneu_center2_ct_120,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,199,309,199,0,199,0.7834645669291339
topaneu_center2_ct_127,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.0
topaneu_center2_ct_130,1,1,1,2,1,0,1,0,1,1,1,0,1,1,1,173,185,86,0,86,0.48044692737430167
topaneu_center2_ct_144,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,43,60,35,35,35,0.6796116504854369
topaneu_center2_ct_147,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,163,177,112,0,112,0.6588235294117647
topaneu_center2_ct_160,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,156,30,18,0,18,0.1935483870967742
topaneu_center2_ct_161,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0.0
topaneu_center2_ct_163,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0.0
topaneu_center2_ct_164,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,49,92,34,0,34,0.48226950354609927
topaneu_center2_ct_165,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,13,48,0,0,0,0.0
topaneu_center2_ct_166,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,94,133,77,0,77,0.6784140969162996
topaneu_center2_ct_196,1,1,2,2,1,1,1,0,1,0,0,0,1,0,0,20,53,17,0,17,0.4657534246575342
topaneu_center2_mr_004,1,1,2,2,2,0,2,0,1,1,1,0,1,1,1,1244,1097,1001,0,1001,0.8551900897052541
topaneu_center2_mr_012,1,1,3,2,3,0,1,0,3,3,1,0,1,1,0,112,1591,110,0,110,0.12918379330593072
topaneu_center2_mr_020,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1022,1077,956,0,956,0.9109099571224393
topaneu_center2_mr_028,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,90,90,82,0,82,0.9111111111111111
topaneu_center2_mr_038,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,204,141,139,139,139,0.8057971014492754
topaneu_center2_mr_074,1,1,3,4,2,1,2,1,2,2,2,1,2,2,2,66,89,47,9,47,0.6064516129032258
topaneu_center2_mr_079,1,1,1,2,1,0,1,0,1,1,0,0,1,1,0,160,185,148,0,148,0.8579710144927536
topaneu_center4_ct_009,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,44,71,44,0,44,0.7652173913043478
topaneu_center4_ct_020_1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,56,145,45,0,45,0.44776119402985076
topaneu_center4_ct_020_2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,234,204,176,0,176,0.8036529680365296
topaneu_center4_ct_020_3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,197,160,145,0,145,0.8123249299719888
topaneu_center4_ct_023,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0.0
topaneu_center4_ct_030,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0.0
topaneu_center4_ct_070,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,7,99,7,0,7,0.1320754716981132
